,prix,Cheval,Carburant,Boite_a_vitesse,Modele,Kilometrage,Age
4341,87000,7,Diesel,Manuelle,Logan,80 000 - 84 999,7
4342,65000,6,Diesel,Manuelle,Logan,190 000 - 199 999,13
4343,65000,7,Diesel,Manuelle,Logan,190 000 - 199 999,13
4344,110000,7,Diesel,Manuelle,Dokker,140 000 - 149 999,8
4345,53000,6,Diesel,Manuelle,Logan,0 - 4 999,15
4346,106000,6,Diesel,Manuelle,Dokker,120 000 - 129 999,5
4347,42000,8,Essence,Manuelle,Logan,300 000 - 349 999,17
4348,67000,6,Diesel,Manuelle,Logan,250 000 - 299 999,13
4349,43000,8,Essence,Manuelle,Logan,0 - 4 999,16
4350,105000,6,Diesel,Manuelle,Dokker,190 000 - 199 999,10
4351,107000,6,Diesel,Manuelle,Logan,40 000 - 44 999,4
4352,45000,8,Essence,Manuelle,Logan,0 - 4 999,18
4353,42000,8,Essence,Manuelle,Logan,180 000 - 189 999,16
4354,103000,6,Diesel,Manuelle,Logan,70 000 - 74 999,4
4355,100800,7,Diesel,Manuelle,Duster,0 - 4 999,11
4356,115000,7,Diesel,Manuelle,Duster,10 000 - 14 999,9
4357,150000,6,Diesel,Automatique,Duster,100 000 - 109 999,6
4358,96000,6,Diesel,Manuelle,Logan,5 000 - 9 999,6
4359,150000,6,Diesel,Automatique,Duster,100 000 - 109 999,6
4360,109000,6,Diesel,Manuelle,Dokker,160 000 - 169 999,7
4361,55000,6,Essence,Manuelle,Logan,110 000 - 119 999,14
4362,127000,6,Diesel,Manuelle,Duster,140 000 - 149 999,7
4363,80800,6,Diesel,Manuelle,Dokker,70 000 - 74 999,3
4364,97000,6,Diesel,Manuelle,Logan,0 - 4 999,6
4365,185000,6,Diesel,Manuelle,Duster,20 000 - 24 999,3
4366,97000,6,Diesel,Manuelle,Dokker,10 000 - 14 999,7
4367,140000,6,Diesel,Manuelle,Duster,50 000 - 54 999,5
4368,140000,6,Diesel,Manuelle,Duster,0 - 4 999,6
